City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,hallein,47.6833,13.1,272.03,64,36,5.66,AT,1702048570
316,colonia,50.9333,6.95,276.38,82,75,5.66,DE,1702049204
317,port saint john's,-31.6229,29.5448,294.26,70,4,1.91,ZA,1702054660
318,villa gesell,-37.2639,-56.973,287.62,68,0,5.01,AR,1702076331
319,port sudan,19.6175,37.2164,298.99,79,9,2.01,SD,1702047154
320,bairnsdale,-37.8333,147.6167,297.07,88,100,0.89,AU,1702027299
321,hovd,48.0056,91.6419,262.62,45,0,0.44,MN,1702029644
322,quincy,42.2529,-71.0023,272.12,71,0,4.12,US,1701983515
323,talnakh,69.4865,88.3972,239.32,84,4,1.57,RU,0
324,shchyolkino,45.4291,35.8223,277.9,93,100,6.59,UA,1702043629
325,conde,-7.2597,-34.9075,298.85,83,20,3.09,BR,1702067244
326,mangrol,21.1167,70.1167,297.08,49,2,4.74,IN,1702039087
327,la'ie,21.6477,-157.9253,300.13,69,21,0.45,US,1702007351
328,pornic,47.1167,-2.1,282.06,85,51,6.52,FR,1702052351
329,santa terezinha,-29.9002,-50.0904,292.32,86,100,5.77,BR,1702073535
330,rize,40.9044,40.8949,275.05,73,99,4.34,TR,1702043308
331,lompoc,34.6391,-120.4579,287.55,77,0,8.94,US,1701996666
332,kralendijk,12.15,-68.2667,301.14,78,20,7.2,BQ,1701986864
333,san antonio de pale,-1.4014,5.6325,299.15,82,100,1.33,GQ,1702056917
334,roma,43.2128,-75.4557,275.83,96,100,1.54,US,1701984398
335,irbit,57.6705,63.071,238.85,96,13,1.47,RU,1702033392
336,harrison,30.4091,-89.0436,285.18,85,0,0.0,US,1701989728
337,ponta delgada,37.7333,-25.6667,292.55,100,75,6.17,PT,1702059832
338,inari,68.906,27.0288,262.26,88,100,4.49,FI,0
339,kupjansk,49.7209,37.5998,269.82,76,100,7.42,UA,1702042179
340,kolonia,50.9333,6.95,276.38,82,75,5.66,DE,1702049204
341,jingmen,31.0336,112.2047,292.16,39,95,2.3,CN,1702027746
342,portstewart,55.1813,-6.714,281.79,85,100,7.53,GB,1702051126
343,rabaul,-4.1967,152.1721,301.82,76,71,7.95,PG,1702022018
344,tshikapa,-6.4167,20.8,294.27,99,100,1.28,CD,1702053783
345,igoumenitsa,39.5039,20.2656,281.96,77,0,2.62,GR,1702048508
346,thinadhoo,0.5333,72.9333,301.32,77,100,6.21,MV,1702040566
347,kurchatov,51.6601,35.6521,265.38,89,100,5.99,RU,1702042108
348,shalqar,47.8333,59.6,261.28,49,100,7.32,KZ,1702037375
349,timbuktu,16.7735,-3.0074,294.78,14,3,4.76,ML,1702057125
350,midvagur,62.0511,-7.1939,279.61,75,100,10.29,FO,1702047888
351,khorixas,-20.3667,14.9667,294.62,24,73,1.62,NA,1702056695
352,sikasso,10.9167,-7.0,295.95,28,7,1.75,ML,1702058704
353,gizo,-8.103,156.8419,301.93,75,98,6.87,SB,1702021295
354,wynyard,-41.0,145.7167,293.0,71,66,4.29,AU,1702028340
355,bahia de kino,28.8333,-111.9333,294.03,42,0,1.65,MX,1701995431
356,ivdel',60.6911,60.4206,239.92,99,87,0.89,RU,1702032517
357,arroyo seco,-33.1549,-60.5086,292.14,84,0,2.17,AR,1702076514
358,zuwarah,32.9312,12.082,287.6,73,39,4.41,LY,1702051510
359,penzance,50.1186,-5.5371,284.53,82,9,11.59,GB,1702052424
360,layou,13.2,-61.2667,298.23,81,85,5.75,VC,1701985074
361,ulanhot,46.0833,122.0833,268.38,53,85,6.22,CN,1702022785
362,kiama,-34.6833,150.8667,301.73,73,79,6.49,AU,1702025994
363,candelaria,13.9311,121.4233,302.25,61,68,2.77,PH,1702027560
364,pathalgaon,22.5667,83.4667,291.59,85,100,0.75,IN,1702035714
365,pariaman,-0.619,100.12,304.18,71,84,2.3,ID,1702034154
